class_name,precision,recall,f1_score,support,accuracy
Class 0,0.7904290429042904,0.7357910906298003,0.762132060461416,651.0,0.9756474995927675
Class 1,0.8100558659217877,0.7323232323232324,0.7692307692307693,198.0,0.9929141553999022
Class 2,0.8553191489361702,0.7416974169741697,0.7944664031620553,271.0,0.9915295650757452
Class 3,0.8949771689497716,0.7286245353159851,0.8032786885245902,269.0,0.9921811369929956
Class 4,0.909433962264151,0.7850162866449512,0.8426573426573427,307.0,0.9926698159309334
Class 5,0.927007299270073,0.7470588235294118,0.8273615635179153,170.0,0.9956833360482163
Class 6,0.9631475039954874,0.9839608144448713,0.9734429189035109,10412.0,0.9544714122821306
